seed,task,method,winner_fraction,n_queries
4,piecewise_linear,linear_global,0.08619791666666667,15360
4,piecewise_linear,local_linear_attention,0.0611328125,15360
4,shifted_local_map,soft,0.0107421875,1024
4,shifted_local_map,sharp,0.1630859375,1024
4,shifted_local_map,window_soft,0.091796875,1024
4,shifted_local_map,knn_mean,0.09765625,1024
4,shifted_local_map,linear_attention,0.0234375,1024
4,shifted_local_map,linear_global,0.1376953125,1024
4,shifted_local_map,local_linear_attention,0.4755859375,1024
4,smooth_nonlinear_local,soft,0.014908854166666667,15360
4,smooth_nonlinear_local,sharp,0.07981770833333333,15360
4,smooth_nonlinear_local,window_soft,0.09212239583333333,15360
4,smooth_nonlinear_local,knn_mean,0.114453125,15360
4,smooth_nonlinear_local,linear_attention,0.0771484375,15360
4,smooth_nonlinear_local,linear_global,0.5378255208333333,15360
4,smooth_nonlinear_local,local_linear_attention,0.08372395833333333,15360
