seed,task,method,mse,n_queries
1,smooth_nonlinear_local,linear_global,0.4150377410153548,15360
1,smooth_nonlinear_local,local_linear_attention,0.47528660694758096,15360
1,smooth_nonlinear_local,uniform_mix,0.4799778344730536,15360
1,smooth_nonlinear_local,oracle,0.2987109844883283,15360
2,piecewise_linear,soft,32.2787282148997,15360
2,piecewise_linear,sharp,39.545143111546835,15360
2,piecewise_linear,window_soft,32.1909521261851,15360
2,piecewise_linear,knn_mean,38.207926448186235,15360
2,piecewise_linear,linear_attention,32.73858257929484,15360
2,piecewise_linear,linear_global,62.95066728591919,15360
2,piecewise_linear,local_linear_attention,45.29124134381612,15360
2,piecewise_linear,uniform_mix,33.648016691207886,15360
2,piecewise_linear,oracle,27.93546593983968,15360
2,shifted_local_map,soft,1.5977173894643784,1024
2,shifted_local_map,sharp,1.3232426643371582,1024
2,shifted_local_map,window_soft,1.4288626164197922,1024
2,shifted_local_map,knn_mean,1.3432284593582153,1024
2,shifted_local_map,linear_attention,1.8512716442346573,1024
2,shifted_local_map,linear_global,1.5958962630247697,1024
2,shifted_local_map,local_linear_attention,1.0678570996969938,1024
2,shifted_local_map,uniform_mix,1.291724756360054,1024
2,shifted_local_map,oracle,0.9162606637692079,1024
2,smooth_nonlinear_local,soft,0.512967745711406,15360
2,smooth_nonlinear_local,sharp,0.6455242854853471,15360
2,smooth_nonlinear_local,window_soft,0.5339469221731027,15360
2,smooth_nonlinear_local,knn_mean,0.644557457168897,15360
2,smooth_nonlinear_local,linear_attention,0.5149531503518422,15360
2,smooth_nonlinear_local,linear_global,0.41485148246089615,15360
2,smooth_nonlinear_local,local_linear_attention,0.4724521942436695,15360
2,smooth_nonlinear_local,uniform_mix,0.47905476118127505,15360
2,smooth_nonlinear_local,oracle,0.2943748731166124,15360
3,piecewise_linear,soft,32.11738419532776,15360
3,piecewise_linear,sharp,39.16060630480448,15360
3,piecewise_linear,window_soft,32.06428815523783,15360
3,piecewise_linear,knn_mean,37.90838758150736,15360
3,piecewise_linear,linear_attention,32.58757266998291,15360
3,piecewise_linear,linear_global,62.84069884618123,15360
3,piecewise_linear,local_linear_attention,45.06866110165914,15360
3,piecewise_linear,uniform_mix,33.52664011319478,15360
3,piecewise_linear,oracle,27.868269411722817,15360
3,shifted_local_map,soft,1.5439639389514923,1024
3,shifted_local_map,sharp,1.2920004278421402,1024
3,shifted_local_map,window_soft,1.3954271078109741,1024
3,shifted_local_map,knn_mean,1.3070469200611115,1024
3,shifted_local_map,linear_attention,1.789701372385025,1024
3,shifted_local_map,linear_global,1.5138150651473552,1024
3,shifted_local_map,local_linear_attention,0.959561537951231,1024
3,shifted_local_map,uniform_mix,1.2336210310459137,1024
3,shifted_local_map,oracle,0.8354548562783748,1024
3,smooth_nonlinear_local,soft,0.4991442903876305,15360
3,smooth_nonlinear_local,sharp,0.6248738100131352,15360
3,smooth_nonlinear_local,window_soft,0.5200513978799184,15360
3,smooth_nonlinear_local,knn_mean,0.6241629590590795,15360
3,smooth_nonlinear_local,linear_attention,0.5013764416178067,15360
3,smooth_nonlinear_local,linear_global,0.4044605945547422,15360
3,smooth_nonlinear_local,local_linear_attention,0.45903195117910706,15360
3,smooth_nonlinear_local,uniform_mix,0.46529463057716686,15360
3,smooth_nonlinear_local,oracle,0.2866838973015547,15360
4,piecewise_linear,soft,32.30641431808472,15360
4,piecewise_linear,sharp,39.57728026707967,15360
4,piecewise_linear,window_soft,32.157816918691,15360
4,piecewise_linear,knn_mean,38.32001665433248,15360
4,piecewise_linear,linear_attention,32.774983978271486,15360
4,piecewise_linear,linear_global,64.10464534759521,15360
4,piecewise_linear,local_linear_attention,45.739364274342854,15360
4,piecewise_linear,uniform_mix,33.83583790461223,15360
4,piecewise_linear,oracle,28.053961690266927,15360
4,shifted_local_map,soft,1.551711067557335,1024
4,shifted_local_map,sharp,1.2911751121282578,1024
4,shifted_local_map,window_soft,1.4132305085659027,1024
4,shifted_local_map,knn_mean,1.288688376545906,1024
4,shifted_local_map,linear_attention,1.7911981046199799,1024
4,shifted_local_map,linear_global,1.5441488448996097,1024
4,shifted_local_map,local_linear_attention,1.013142654672265,1024
4,shifted_local_map,uniform_mix,1.2471129149198532,1024
4,shifted_local_map,oracle,0.8630901698488742,1024
4,smooth_nonlinear_local,soft,0.5027950130403042,15360
4,smooth_nonlinear_local,sharp,0.6199724572400253,15360
4,smooth_nonlinear_local,window_soft,0.5247188284993172,15360
4,smooth_nonlinear_local,knn_mean,0.6194327925642331,15360
4,smooth_nonlinear_local,linear_attention,0.5049978204071521,15360
4,smooth_nonlinear_local,linear_global,0.40474563191334406,15360
4,smooth_nonlinear_local,local_linear_attention,0.46154191717505455,15360
4,smooth_nonlinear_local,uniform_mix,0.4669477644066016,15360
4,smooth_nonlinear_local,oracle,0.28984727412462236,15360
